GEOID,B01003_001E,B17001_001E,B17001_002E,B16010_001E,B16010_041E,C18120_002E,C18120_006E,B11005_001E,B11005_005E
g12073000200,3885,3862,904,2721,1749,2484,145,2242,94
g12073000301,1650,1650,257,1109,720,1088,85,871,30
g12073000302,2435,2435,345,1943,987,1451,38,1234,95
g12073000303,3628,3628,857,2246,1026,2295,266,1801,338
g12073000400,3348,1223,546,519,317,1279,421,474,58
g12073000500,2601,1487,1031,598,290,1208,231,917,51
g12073000600,3794,3758,2315,2034,266,1680,421,1365,107
g12073000700,1946,1946,700,1462,523,1265,104,1126,102
g12073000800,2993,2957,322,2351,1481,1850,71,1492,80
g12073000901,8180,7865,1097,5992,3366,4452,212,3768,322
g12073000903,2104,2104,514,1351,476,1386,93,1041,80
g12073000904,3062,3062,249,2097,1053,2036,84,1629,47
g12073000905,3160,3160,617,1903,948,2066,86,1628,93
g12073001001,2934,2923,1960,1154,237,1240,311,1098,446
g12073001002,1983,1983,879,1030,203,1075,319,731,125
g12073001101,2662,2077,1266,1045,168,1081,433,874,249
g12073001102,2295,2295,504,1372,380,1073,149,939,106
g12073001200,1307,1307,663,751,66,646,170,594,137
g12073001300,6317,5,5,111,90,1737,738,0,0
g12073001401,2322,2208,675,1267,360,1361,243,1274,106
g12073001402,5048,5002,3200,1353,365,2871,486,1933,213
g12073001500,4684,4684,1332,2629,1137,2619,158,1938,259
g12073001601,3988,3988,1071,2397,1042,2426,263,1822,231
g12073001602,3285,3285,75,2365,1337,1668,87,1312,73
g12073001700,6708,6672,455,5275,3709,3321,113,3279,117
g12073001801,3984,3845,1161,2181,181,2049,325,1469,354
g12073001802,5186,5117,842,2971,1154,2835,310,2416,540
g12073001901,3311,3160,962,2267,1027,1785,265,1663,183
g12073001902,3821,3745,1347,1994,505,1782,300,1395,252
g12073002003,2273,1282,660,1180,121,608,158,525,70
g12073002004,8238,8238,5609,1871,624,4824,593,3274,236
g12073002005,2958,2790,2086,365,244,1691,290,1384,40
g12073002006,4059,4040,2276,807,266,2505,414,1641,109
g12073002101,4929,4918,1613,2394,865,3121,308,1856,162
g12073002103,3854,3854,2190,685,339,2639,481,1475,95
g12073002104,6805,6803,4061,2062,681,3891,708,2764,305
g12073002201,5292,5097,2102,2750,670,3180,471,2029,579
g12073002205,5232,5222,1456,3204,1241,3011,289,1960,334
g12073002206,3253,3253,78,2001,873,1920,8,1235,105
g12073002207,2436,2406,872,1360,385,1371,288,978,64
g12073002208,5077,5077,612,3328,1013,2574,177,2018,281
g12073002302,3330,3286,341,2318,821,1518,106,1248,99
g12073002303,3747,3744,313,2430,775,2023,157,1467,163
g12073002304,3065,3065,888,1882,247,1789,360,1281,290
g12073002403,2721,2693,302,2091,798,1555,137,1107,152
g12073002408,8110,8087,455,5151,2985,3660,161,2825,259
g12073002410,5802,5775,610,3840,1974,3429,99,2592,302
g12073002411,1851,1851,86,1252,505,898,83,668,37
g12073002412,8729,8722,179,5565,3079,4437,103,3044,227
g12073002413,2665,2665,46,1770,1023,1304,37,934,153
g12073002414,4539,4536,131,3354,1970,2152,116,1908,136
g12073002415,4387,4387,213,3117,1862,2184,70,1747,114
g12073002416,3091,3091,123,2144,1473,1428,18,1148,30
g12073002417,6785,6785,226,4518,3312,3496,187,2386,183
g12073002505,5717,5383,595,4223,1961,2909,141,2657,414
g12073002507,2689,2689,146,1798,875,1476,65,914,82
g12073002508,9110,9069,631,6297,2877,4655,279,3237,286
g12073002509,3607,2545,395,2440,440,1393,236,1222,198
g12073002510,6342,6302,258,4706,2056,3655,227,2784,205
g12073002511,1183,1183,48,997,647,460,27,511,0
g12073002512,3265,3265,43,2293,1196,1704,69,1148,53
g12073002513,4196,4185,113,2738,1726,2178,88,1430,94
g12073002603,5357,5357,1553,3163,337,2649,369,1970,359
g12073002604,2612,2550,271,1648,232,1323,61,1098,150
g12073002605,4195,4188,160,2818,2041,2284,29,1562,112
g12073002606,3084,3084,255,2342,833,1728,99,1338,89
g12073002701,5074,5054,1166,3199,425,2593,399,2016,353
g12073002702,4226,4217,591,2797,335,2133,192,1854,76
