business_id,categories,city,full_address,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type,latenight,hipster
ShUDf64NVkwCe8izdUbYuw,"[u'Mexican', u'Restaurants']",Phoenix,"5820 W McDowell Rd\nPhoenix, AZ 85035",33.466373,-112.184772,Los Armandos Asadero Y Mariscos,[],True,3,5.0,AZ,business,False,False
mQfT3JYu18HN22DVylcE7A,"[u'Bakeries', u'Food', u'Breakfast & Brunch', u'Sandwiches', u'Restaurants']",Phoenix,"3134 E Indian School Rd\nPhoenix, AZ 85018",33.4952159,-112.014454,Bertha's Caf\u00e9,[],True,177,4.5,AZ,business,False,False
MiVcQsXp3TYUmeD7FSa-hA,"[u'Bakeries', u'Food', u'Sandwiches', u'Restaurants']",Mesa,"21 W Main St\nMesa, AZ 85201",33.41484,-111.8321847,Sweet Cakes Caf\u00e9,[],True,70,3.5,AZ,business,False,False
tl9XIP5trlkcuSfTQqe5jg,"[u'Fast Food', u'Restaurants']",Goodyear,"632 N Estrella Pkwy\nGoodyear, AZ 85338",33.453887,-112.393195,McDonalds,[],True,6,2.0,AZ,business,False,False
wAs-stW0HP6OXVXdpawnBQ,"[u'Vietnamese', u'Restaurants']",Phoenix,"4808 N 35th Ave\nPhoenix, AZ 85017",33.5081908,-112.1345446,Dong-A,[],True,7,3.0,AZ,business,False,False
xvCWAzIS_EpTwDIUVhY_Og,"[u'Burgers', u'Fast Food', u'Restaurants']",Scottsdale,"7412 E McDowell Rd\nScottsdale, AZ 85257",33.4659545,-111.9208174,Jack in the Box,[],True,6,3.0,AZ,business,False,False
nKrUueeLiIAeMH8nGhdh3A,"[u'Fast Food', u'Restaurants']",Phoenix,"3207 W Indian School Rd\nPhoenix, AZ 85017",33.4949436,-112.128213,McDonald's,[],True,4,2.0,AZ,business,False,False
RxYntP8Gsu9hH6gtGjQGVw,"[u'Food', u'Seafood', u'Seafood Markets', u'Specialty Food', u'Barbeque', u'Restaurants']",Scottsdale,"7049 E McDowell Rd\nScottsdale, AZ 85257",33.4652707845178,-111.928442716598,J&M Fish Market,[],True,18,3.0,AZ,business,False,False
CqhsIZ7TzCfJTrZqg5-gqQ,"[u'Nightlife', u'Bars', u'American (Traditional)', u'Sports Bars', u'Restaurants']",Phoenix,"1904 E Camelback Rd\nPhoenix, AZ 85016",33.5093736,-112.0409502,Armadillo Grill,[],True,133,4.0,AZ,business,True,False
ChmqODwuYP1ewjmWXtxtsg,"[u'Chinese', u'Restaurants']",Phoenix,"13843 N Tatum Blvd\nSte 15\nPhoenix, AZ 85032",33.6128817,-111.9777891,Nee House Chinese Restaurant,[],True,108,3.5,AZ,business,False,False
nBqXILuCGVZ4-aPuRKjCCg,"[u'Mexican', u'Restaurants']",Mesa,"1948 W Broadway Road\nMesa, AZ 85202",33.407858,-111.8735293,Jalisience Mexican Food,[],True,4,3.5,AZ,business,False,False
s9D-UVxljO05xWTI33MjnA,"[u'Fast Food', u'Restaurants']",Chandler,"655 N Arizona Ave\nChandler, AZ 85225",33.3144486,-111.8414264,KFC,[],True,4,1.0,AZ,business,False,False
6w_k3NCXF_p8UTWDxpOF5w,"[u'American (Traditional)', u'Comfort Food', u'Restaurants']",Tempe,"1804 E Elliot Rd\nTempe, AZ 85284",33.349583,-111.910685,Boston Market,[],True,8,4.0,AZ,business,False,False
_DZfwU9dE9Q5I1-1jiM1vQ,"[u'Bars', u'Pizza', u'Nightlife', u'Restaurants']",Scottsdale,"1645 N Hayden Rd\nScottsdale, AZ 85257",33.4671841,-111.9086242,Little Chicago Pizza,[],True,8,4.0,AZ,business,False,False
EeQlS9VLlfWT25-MeYsJTg,"[u'Mexican', u'Restaurants']",Glendale,"20210 North 59th Ave\nGlendale, AZ 85308",33.669346032902,-112.18716137285,Rubio's Fresh Mexican Grill,[],True,21,4.0,AZ,business,False,False
yC3ydbHAJTZ22FZp4LynFg,"[u'Filipino', u'Restaurants']",Chandler,"2390 N Alma School Rd\nChandler, AZ 85224",33.3416423,-111.8590556,Jeepney Bistro,[],True,27,3.5,AZ,business,False,False
XRdwAqzuG_SwVFFlOzLmEQ,"[u'Bars', u'American (New)', u'Nightlife', u'Restaurants']",Surprise,"Uptown Alley\n13525 N Litchfield Rd\nSurprise, AZ 85379",33.6075896,-112.355665,Red Embers Bar & Grill,[],True,13,3.0,AZ,business,False,False
IWwt0vm8lYbVoyGSPd2Z9A,"[u'American (Traditional)', u'Barbeque', u'Restaurants']",Chandler,"7300 W Chandler Blvd\nChandler, AZ 85226",33.3057949,-111.9677833,Rudy's Country Store & Bar-B-Q,[],True,265,4.0,AZ,business,False,False
oxsCvEkQNNIbOPDt_QK_0A,"[u'Pakistani', u'Indian', u'Restaurants']",Scottsdale,"7373 E Scottsdale Mall\nSte 1\nScottsdale, AZ 85251",33.4941704,-111.9260519,Jewel of the Crown,[],True,69,4.0,AZ,business,False,False
pSiR8m18iick2D7TFdmb-Q,"[u'Chinese', u'Restaurants']",Tempe,"1825 E Baseline Rd.\nTempe, AZ 85283",33.3783016,-111.906522,Wong's Place,[],True,72,4.0,AZ,business,False,False
GBN0-wo_cHLnC_pwoOTIFQ,"[u'Asian Fusion', u'Restaurants']",Phoenix,"4905 E Ray Rd\nPhoenix, AZ 85044",33.3194372,-111.9780314,Neo Tokyo,[],True,32,3.0,AZ,business,False,False
iZpgRNPogioU5sEaDyl5uw,"[u'Chinese', u'Restaurants']",Tempe,"939 E Guadalupe Rd\nSte 1\nTempe, AZ 85283",33.3637468,-111.9277022,Chopstick Express,[],True,60,3.0,AZ,business,False,False
Cr2JNnewX53TYd9w6qw6Jw,"[u'Burgers', u'Restaurants']",Chandler,"960 N 54th St\nChandler, AZ 85226",33.318913,-111.969608,The Habit Burger Grill,[],True,72,3.5,AZ,business,False,False
04SKYBXRAqeYIuuVDzwKNg,"[u'Tex-Mex', u'Restaurants']",Tempe,"325 W Elliot Rd\nTempe, AZ 85284",33.3490842,-111.9449183,Moe's Southwest Grill,[],False,10,3.0,AZ,business,False,False
DDnmNTvIIQu2t3WZ2EQx-w,"[u'American (Traditional)', u'Mexican', u'Restaurants']",Phoenix,"6933 N 7th St\nPhoenix, AZ 85014",33.538748,-112.064759,Sierra Bonita Grill,[],True,191,4.0,AZ,business,False,False
